,,Name,Gender,Book Description,Special Notes
FALSE,#1072,Thistlepaw,Unknown,No Description ,The New Prophecy. Vicky's Facebook claims Thistlepaw is a gray and white she-cat with long spiky fur and green eyes
FALSE,#1073,Thrushpelt,Male,Sleek ,Secrets of the Clans claims him to be a stone gray cat with flecks of darker brown fur
FALSE,#1074,Thrushwing,Female,No Description ,"Su Susann's ""Missing Kits"" claims her to be a tortoiseshell she-cat with green eyes"
FALSE,#1075,Tornear,Male,Tornear is a wiry gray tabby tom with a torn right ear and blue eyes,
FALSE,#1076,Weaselfur,Male,Weaselfur is a lithe ginger tabby tom with white paws and green eyes,
FALSE,#1077,Webfoot,Male,"Webfoot is a wiry, dark gray tabby tom with orange eyes",
FALSE,#1078,Whiskernose,Male,Whiskernose is a light brown tom,
FALSE,#1079,Whistlepaw,Female,Whistlepaw is a gray tabby she-cat,
FALSE,#1080,Whiteberry,Male,"Whiteberry is a small, pure snowy-white tom",
FALSE,#1081,Whitetail,Female,Whitetail is a small pure white she-cat,
FALSE,#1082,Willowclaw,Female,Willowclaw is a gray she-cat,
FALSE,#1083,Windstar,Female,"Windstar is a wiry brown she-cat with narrow tabby stripes, a thin, striped face, and yellow eyes",
FALSE,#1084,Wolfheart,Female,Wolfheart is a gray she-cat,
FALSE,#1085,Woodsong,Female,Woodsong is a brown she-cat,
FALSE,#1086,Woollytail,Male,Woollytail is a gray and white tom with bright yellow eyes and wide shoulders,
FALSE,#1087,Wrenflight,Female,Wrenflight is a brown she-cat,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
