,,Name,Gender,Book Description,Special Notes
FALSE,#0673,Poolcloud,Female,Poolcloud is a pale gray-and-white she-cat with blue eyes,
FALSE,#0674,Pouncestep,Female,Pouncestep is a gray tabby she-cat wth dark amber eyes,
FALSE,#0675,Pouncetail,Male,Pouncetail is a brown tabby tom,
FALSE,#0676,Puddleshine,Male,"Puddleshine is a sleek-furred brown tom with white splotches, pale blue eyes, and scars hidden under his thick pelt",
FALSE,#0677,Quietkit,Unknown,Quietkit is a brown tabby cat,
FALSE,#0678,Raggedstar,Male,"Raggedstar is a large, muscular and broad-shouldered, dark brown tabby tom with patchy fur, scars on his nose, amber eyes, and a shredded, torn ear",
FALSE,#0679,Ratscar,Male,Ratscar is a dark brown tom with a long scar across his back,
FALSE,#0680,Redscar,Male,"Redscar is a reddish-brown tabby tom with a jagged scar that stretches from his ear to his jawline, and pale eyes",
FALSE,#0681,Redthistle,Female,Redthistle is a dark ginger she-cat,
FALSE,#0682,Ripplestar,Male,Ripplestar is a black-and-orange tom with yellow eyes,
FALSE,#0683,Rowanberry,Female,Rowanberry is a cream-and-brown she-cat with amber eyes,
FALSE,#0684,Rowanclaw,Male,"Rowanclaw is a lithe, flame-colored dark ginger tabby tom with amber eyes",
FALSE,#0685,Rowankit,Male,Rowankit is a ginger tabby tom,
FALSE,#0686,Rubblekit,Unknown,Rubblekit is a pale gray tabby cat,
FALSE,#0687,Runningnose,Male,"Runningnose is a small gray-and-white tom with patchy, grizzled, and ungroomed fur. He has a gray muzzle, and rheumy, amber eyes",
FALSE,#0688,Russetfur,Female,"Russetfur is a sleek, scrawny, dark ginger tabby she-cat with dark green eyes",
FALSE,#0689,Sagewhisker,Female,"Sagewhisker is a snowy-white she-cat with long whiskers, blue eyes, and a graying muzzle",
FALSE,#0690,Scorchfur,Male,"Scorchfur is a dark gray tom with ragged, slashed ears, one of which is torn",
FALSE,#0691,Scorchwind,Male,Scorchwind is a ginger tabby tom,
FALSE,#0692,Sedgestar,Male,"Sedgestar is a long-legged, light brown tabby tom",
FALSE,#0693,Shadowsight,Male,"Shadowsight is a scrawny, little, dark gray tabby tom with wide, dark stripes along his flanks, amber eyes, and a shredded ear that he is unable to move. He is also scarred",
FALSE,#0694,Shadowstar,Female,"Shadowstar is a lithe, sleek and thick-furred, night-black she-cat with vivid, dark green eyes, the color of sunlight on fresh leaves.",Shadowclan's 1st leader and founder
FALSE,#0695,Shrewfoot,Female,Shrewfoot is a gray she-cat with black paws,
FALSE,#0696,Silverflame,Female,"Silverflame is a thick-furred, orange-and-gray she-cat with amber eyes",
FALSE,#0697,Silvermask,Male,Silvermask is a tom with a gray stripe on his face,
FALSE,#0698,Slatefur,Male,Slatefur is a sleek gray tom,
FALSE,#0699,Sloefur,Male,Sloefur is a black tom,
FALSE,#0700,Smokefoot,Male,Smokefoot is a black tom,
FALSE,#0701,Smokepaw,Male,Smokepaw is a dark gray tom,
FALSE,#0702,Smoketalon,Male,Smoketalon is a mottled gray tom,
FALSE,#0703,Snaketail,Male,Snaketail is a brown tabby tom,
FALSE,#0704,Snaketail,Male,Snaketail is a dark brown tom with a tabby-striped tail and a gray-flecked chin,
FALSE,#0705,Snaketooth,Female,Snaketooth is a honey-brown tabby she-cat,
FALSE,#0706,Snowbird,Female,"Snowbird is a sleek, lithe, well-muscled, pure white she-cat with green eyes, one of her forepaws is not as straight from an injury, and she walks with a limp",
FALSE,#0707,Snowstar,Male,Snowstar is a gray tom,
FALSE,#0708,Sparrowtail,Male,Sparrowtail is a large brown tabby tom,
FALSE,#0709,Spiderfoot,Male,"Spiderfoot is a gray tom with black front paws, and pale blue eyes",
FALSE,#0710,Spireclaw,Male,Spireclaw is a black and white tom,
FALSE,#0711,Splashnose,Female,Splashnose is a dusty-brown tabby she-cat with a white streak on her muzzle,
FALSE,#0712,Spottedpaw,Male,"Spottedpaw is a small brown tom with ginger flecks, and bright blue eyes",
FALSE,#0713,Starlingwing,Male,Starlingwing is a ginger tom,
FALSE,#0714,Stoatfur,Male or Female,Stoatfur is a skinny ginger tom OR a tortoiseshell-and-white she-cat,
FALSE,#0715,Stonetooth,Male,"Stonetooth is a thin, gray tabby tom with long teeth that curve out from under his lip, and a muzzle gray with age",
FALSE,#0716,Stonewing,Male,Stonewing is a white tom with a kinked tail and dark blue eyes,
FALSE,#0717,Streamkit,Female,Streamkit is a gray tabby she-cat,
FALSE,#0718,Strikestone,Male,"Strikestone is a brown tabby-and-white tom. One of his ears is shredded, and he has completely lost his hearing in that ear",
FALSE,#0719,Sunbeam,Female,Sunbeam is a brown-and-white tabby she-cat with yellow eyes,
FALSE,#0720,Sunnytail,Female,Sunnytail is a ginger-and-white she-cat with a bright orange tail,
FALSE,#0721,Swampkit,Unknown,Swampkit is a white kit,
FALSE,#0722,Tallpoppy,Female,Tallpoppy is a long-legged light brown tabby she-cat,
FALSE,#0723,Talonpaw,Male,Talonpaw is a pale gray tom,
FALSE,#0724,Tangleburr,Female,Tangleburr is a gray-and-brown she-cat,
FALSE,#0725,Tawnypelt,Female,"Tawnypelt is a lean, mottled, tortoiseshell-and-white she-cat with clear green eyes",
FALSE,#0726,Tigerstar,Male,Tigerstar is a dark brown tabby tom with amber eyes,Tawnypelt's son
FALSE,#0727,Toadfoot,Male,Toadfoot is a dark brown tom,
FALSE,#0728,Toadskip,Male,"Toadskip is a dark brownt abby tom with white splashes, white legs, and blue eyes",
FALSE,#0729,Turtlekit,Unknown,"Turtlekit is a gray, brown, and white tortoiseshell cat",
FALSE,#0730,Violetshine,Female,"Violetshine is a small white she-cat with black splotches and yellow eyes. She has glossy fur, wide paws, and a long, thick tail",
FALSE,#0731,Volewhisper,Male,Volewhisper is a tiny light brown tom with yellow eyes and a scarred left hind leg,
FALSE,#0732,Wasptail,Female,Wasptail is a yellow tabby she-cat with green eyes,
FALSE,#0733,Weaselkit,Unknown,No Description,
FALSE,#0734,Wetfoot,Male,Wetfoot is a gray tabby tom,
FALSE,#0735,Whisperkit,Male,Whisperkit is a gray tom,
FALSE,#0736,Whitethroat,Male,Whitethroat is a small black tom with a white chest and paws,
FALSE,#0737,Whitewater,Female,Whitewater is a long-furred white she-cat with a blind eye,
FALSE,#0738,Whorlpelt,Male,Whorlpelt is a gray-and-white tom,
FALSE,#0739,Wildfur,Male,has a broken backbone,
FALSE,#0740,Wishkit,Female,Wishkit is a pale ginger tabby she-cat,
FALSE,#0741,Wolfstep,Male,Wolfstep is a gray tom with a torn ear,
FALSE,#0742,Yarrowleaf,Female,Yarrowleaf is a ginger she-cat with yellow eyes,
FALSE,#0743,Yellowstar,Unknown,No Description,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
